id,text,Anger,Fear,Joy,Sadness,Surprise
eng_train_track_a_01899,"She staggered backwards, hit her head hard enough on the wall to leave a dent, and slumped down.",0.0,1.0,0.0,1.0,1.0
synthetic_anger_241,I was unfairly blamed for something I didn’t even do.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_01816,Her mother is bouncing up and down with excitement.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_03612,"I tried to steady my breathing, but the fear had already taken hold.",0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00980,"One day, one of the Nazi soldiers went missing.",0.0,1.0,0.0,1.0,1.0
eng_train_track_a_02913,"My mind was a whirlwind, but I couldn’t find the words to express it.",1.0,1.0,0.0,0.0,0.0
eng_train_track_a_01329,I go to her pictures and see the image of what was in my head right there in front of me...,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_02766,"Okay that sucks, right?",1.0,0.0,0.0,1.0,0.0
eng_train_track_a_00834,Decide to be roommates.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_02896,"Every step I took seemed heavier than the last, the fear tightening around my chest with every moment.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_02889,"The fear of losing my mind kept me isolated, and I couldn’t talk to anyone about it.",0.0,0.0,1.0,0.0,1.0
eng_train_track_a_01373,"It was a dark, awful feeling.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_02484,"I set off down the street, walking with my head tilted slightly downwards, hiding my face from view.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_01340,She keeps canceling our plans at the last minute.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_01068,"I was petrified, he looked really calm.",0.0,1.0,0.0,0.0,1.0
synthetic_surprise_077,I was handed a puppy in the middle of the park.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00214,Luckily the security guard is cool with me and let me stay.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_02986,I was overcome with fear as the consequences of my actions began to sink in.,0.0,0.0,1.0,0.0,1.0
synthetic_anger_338,The favoritism in this team is maddening.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_00209,"This operation removed the interlocking tibial nail from within my right tibia, a long titanium rod which had done a marvellous job of holding my leg together after that awful accident but which was now superfluous, and also the prime suspect in my ongoing pain issues.",0.0,1.0,0.0,1.0,0.0
synthetic_surprise_030,I found an old photo album in the attic.,0.0,0.0,1.0,1.0,1.0
eng_train_track_a_01030,He deliberately ignored my question during the discussion.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03007,A strange noise woke me up in the middle of the night.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_01360,We had absolutely nothing in common.,0.0,0.0,0.0,1.0,0.0
eng_train_track_a_02129,The pain was immediate and intense.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_01932,"My knuckle still doesn't look good, and it hurts like hell when I make a fist.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_03263,"The air was thick with sadness and fear, and I couldn’t seem to escape either one.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_02741,First college room mate ever.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_03812,"I couldn’t stop shaking, and I could feel the adrenaline pumping through my veins.",1.0,0.0,0.0,1.0,0.0
eng_train_track_a_00321,"As I walked in the door she came around the corner, squealing with delight and ran into my arms!",0.0,0.0,1.0,0.0,1.0
eng_train_track_a_01493,The grass is a beautiful green.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01037,"I waited over an hour for the doctor, only to be rushed out in five minutes.",1.0,0.0,0.0,0.0,0.0
eng_train_track_a_00180,"I went to the clinic and got looked over and to my amazement, after they swabbed my throat, they didn't find any strep bacteria, even though my throat is really red.",0.0,1.0,0.0,0.0,1.0
eng_train_track_a_02932,"The anger in the room was thick, and I could sense the tension rising as we both struggled to keep it under control.",1.0,0.0,0.0,0.0,0.0
eng_train_track_a_02147,Giant redneck dad decides to find this dude first.,1.0,1.0,0.0,0.0,1.0
eng_train_track_a_01833,"( I breathed in and got cake stuck up my nose, plus I couldn't see with the frosting smudging my glasses.",0.0,0.0,0.0,0.0,1.0
eng_train_track_a_03313,"The sadness that filled me was so deep, it felt like I would never be able to get out of it.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01793,He never took out the garbage.,1.0,0.0,0.0,1.0,0.0
eng_train_track_a_01792,"My face is cold, and my hands are guilty.",0.0,1.0,0.0,1.0,0.0
synthetic_anger_250,Their unwillingness to compromise is frustrating.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_02074,My disbelief was outstanding.,0.0,0.0,0.0,0.0,1.0
eng_train_track_a_03661,"I stayed up all night reading a new novel, totally worth it!",1.0,0.0,1.0,0.0,0.0
eng_train_track_a_01280,The contractor didn’t finish the work on time.,1.0,0.0,0.0,0.0,0.0
synthetic_surprise_122,The bus arrived exactly as I reached the stop.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_03828,"I couldn’t understand what was happening, but the fear and sadness were so intense it was all I could feel.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_00963,Probably shaved 30 minutes or more of stop and go traffic.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01353,He borrowed my book and returned it damaged.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_02789,A sudden bang startled me out of my thoughts.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_00112,"So, my father owns a insurance agency.",0.0,0.0,0.0,0.0,0.0
eng_train_track_a_00995,I was like wtf.,1.0,0.0,0.0,0.0,1.0
eng_train_track_a_03575,"My friend surprised me with a handmade gift, and I felt touched.",1.0,0.0,1.0,0.0,0.0
eng_train_track_a_01100,He threw away my leftovers without asking.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03724,The campfire crackled as we shared ghost stories.,1.0,0.0,1.0,0.0,0.0
eng_train_track_a_01961,"I cocked my head like the RCA Victrola Dog, and sure enough -- key in door sounds.",0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01246,so I'm stir my heart for Europe travel.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_00830,"Everything, and I mean everything, matched up.",0.0,0.0,1.0,0.0,0.0
eng_train_track_a_02434,He was so close.,0.0,1.0,0.0,1.0,1.0
eng_train_track_a_03485,"Every time I looked at him, the anger grew stronger.",1.0,0.0,0.0,0.0,0.0
eng_train_track_a_00831,This was the worse night of my life.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_03550,"The sadness was almost unbearable, and I found myself wishing for things to be different.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_00557,"v-neck shirt, I moved slowly throughout the house, doing my usual morning duties ( diaper changes, breakfast, coffee ), quite lethargically, occasionally brushing a strand of ( dirty ) hair away from my eyes with my hand.",0.0,0.0,0.0,1.0,0.0
eng_train_track_a_02416,It's choking me and burning my eyes.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_01188,And now my lips are sealed.,0.0,0.0,0.0,0.0,0.0
eng_train_track_a_00814,"When I was 10, we had to paint birds for art, I was pretty good at art but a girl copied my exact one, even though we had to do different ones and I was not pleased.",1.0,0.0,0.0,0.0,1.0
eng_train_track_a_01336,They didn’t call me back when they said they would.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03760,The aroma of freshly brewed coffee filled the room.,1.0,0.0,1.0,0.0,0.0
eng_train_track_a_00127,We haven't talked about it since.,0.0,0.0,0.0,1.0,0.0
eng_train_track_a_00081,"i'm like amused by the auntie who's holding my arm all the way, and i'm thinking of all the weird pictures i took with yongqing, then i remembered my flying eyebrows, and my smile = & %!",0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01232,On this monday I went in to get my radiation treatment and couldnt stop crying from the pain in my leg.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_03476,"I couldn’t escape the fear that followed me everywhere, and the sadness was an ever-present companion.",0.0,0.0,1.0,1.0,0.0
synthetic_anger_052,The lack of professionalism is infuriating.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03752,"The sadness in her voice was palpable, and the fear of facing what was to come made my heart race.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_00036,"It was a call from the company whose offer i had accepted, saying that on the medical check up ( i signed the contract before i went on med.check ); my lungs doesn't seem well.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_02647,Then the screaming started.,0.0,1.0,0.0,1.0,1.0
eng_train_track_a_00243,"When she decided it was time to go back to my stall, I didn't want to leave and I pretended I didn't know she was asking me to pick up my head.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_00009,"Now my parents live in the foothills, and the college is in a large valley.",0.0,0.0,0.0,0.0,0.0
eng_train_track_a_02482,The rattling in my brain clogs my nose.,0.0,1.0,0.0,1.0,0.0
synthetic_surprise_091,The curtains moved even though all windows were closed.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_02572,The grip on my wrist tightened and my arm throbbed from the pressure.,1.0,1.0,0.0,0.0,0.0
eng_train_track_a_01100,I can't bend or twist my head and no lifting anything over 10 pounds.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_02356,JUST STOP IT ALREADY!,1.0,1.0,0.0,0.0,0.0
eng_train_track_a_02227,"Sorry I missed you, call you later.",0.0,0.0,1.0,0.0,0.0
eng_train_track_a_02644,My roommate was asleep in his bed.,0.0,0.0,0.0,0.0,0.0
synthetic_surprise_120,The neighbor's dog brought me a stick as a gift.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_01121,"I've spent tons of time in the desert, in the forest, camping, hiking.",0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01587,My heart sinks.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_01019,They slammed the door in my face without even listening.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_00353,Then my heart dropped.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_03406,"His words cut deep, leaving me speechless.",1.0,0.0,0.0,1.0,0.0
eng_train_track_a_03682,"The shadows stretched across the walls, filling the room with a sense of fear I couldn’t shake.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_02530,"Unfortunately in the second hour, I took an odd stroke and my neck popped.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_00364,"If I am trying to get to sleep in  a very dark room I will see, hear, and feel things.",0.0,1.0,0.0,0.0,1.0
eng_train_track_a_00181,"{{{Yeah...welcome to being 25, btw...it is awful thus far...but...SHIT at least I get to be 25!",1.0,1.0,1.0,1.0,1.0
synthetic_surprise_114,The fish I caught had an unusual marking on its tail.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00096,He took the picture and followed the giggling.,0.0,1.0,1.0,0.0,1.0
eng_train_track_a_01447,"an hour after i got here my eyes swelled up and are so itchy, my athsma is ridiculous ( in vic i do nt even take medications!",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_02103,"""Yes Johnson"" ARcH replied.",0.0,0.0,0.0,0.0,1.0
eng_train_track_a_01172,They made changes to the plan without consulting me.,1.0,0.0,0.0,0.0,0.0
synthetic_surprise_157,The coffee shop gave me an extra croissant for free.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00519,Watch the mask re-cover my face.,0.0,0.0,0.0,0.0,0.0
eng_train_track_a_02808,"The sadness seemed endless, and the fear that it would never go away kept me awake at night.",0.0,0.0,1.0,1.0,0.0
synthetic_anger_113,Their rude behavior is simply uncalled for.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_00392,FISHIN '' I woke up in the morning my head was throbing black and blue eyed thought I'd died smashed up my TV set.,0.0,1.0,0.0,1.0,1.0
synthetic_anger_043,I can’t believe they dismissed my idea like that.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_02297,Now i'm stuck with a Class D Felony for Distribution of Marijuana... fucking sucks man..,1.0,1.0,0.0,1.0,0.0
synthetic_anger_266,I was publicly shamed for something I didn’t even do.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03658,"I could feel my heart pounding, my mind racing, and I wanted to lash out.",1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03073,"I had no idea who was behind me, but I could feel their presence getting closer.",0.0,1.0,0.0,0.0,1.0
eng_train_track_a_03255,"I felt like I was standing on the edge, a single step away from falling into something terrifying.",0.0,0.0,1.0,0.0,1.0
eng_train_track_a_02498,This is the most terrifying experience of my life.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_01334,She keeps using my stuff without asking.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_01988,"The stranger is left speechless, confused, and strangely proud.",0.0,1.0,1.0,0.0,1.0
synthetic_anger_102,Why do they always ignore the simplest requests?,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_00174,Nobody disagreed with red carding the coach.,0.0,0.0,0.0,0.0,0.0
eng_train_track_a_01400,"I pull the trigger, feel the recoil in my hand along with the professionally, almost muted sound and watch him shudder and then go limp against me.",1.0,1.0,0.0,1.0,0.0
eng_train_track_a_00225,She legged it back to house scared shitless.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_00999,"' By now, a small intense knot of hatred swelling in my stomach.",1.0,0.0,0.0,0.0,0.0
eng_train_track_a_01333,They didn’t follow through on their promise.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_01208,He always interrupts me when I’m speaking.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_02508,Twice I got it in my hands but it slipped out and bashed itself into the window again.,1.0,1.0,0.0,0.0,0.0
eng_train_track_a_00747,"But, when I feel the sand under my feet, hear the roar of the waves and the strength of the gulf winds pushing and pulling the water in a sacred motion, all else is gone.",0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01018,I can't believe they lied to my face!,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_00818,She left the room and went downstairs.,0.0,0.0,0.0,0.0,0.0
eng_train_track_a_02878,"He cracked a joke, and I couldn't stop laughing.",1.0,0.0,1.0,0.0,0.0
eng_train_track_a_02908,"I felt lost in the sadness, and the fear of never finding my way out seemed to stretch on forever.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_03573,The cold sweat on my skin was a constant reminder of the fear that had me in its grip.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_03620,"It was a strange feeling, realizing I had no one to call.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01538,"-one roommate never showered, end of the year garbage bags of trash were taken out from her suite.",1.0,0.0,0.0,0.0,1.0
eng_train_track_a_01864,"i got a labrador puppy for my 4th birthday, greatest present ever.",0.0,0.0,1.0,0.0,1.0
eng_train_track_a_03549,"My body ached, but I kept pushing myself further into the unknown.",1.0,0.0,0.0,0.0,0.0
eng_train_track_a_01883,"My shoulder, neck and wrist have started aching all the time.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_00610,"I had a difficult time reaching the target HR, even in the lowest gear, but I still got a really nice burn in my legs.",0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01436,I was writing away.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_00691,"She was rude to our photographer, she was rude to a few guests, and to us.",1.0,0.0,0.0,0.0,0.0
eng_train_track_a_00018,more funny than creepy being on this side of the story:,0.0,1.0,1.0,0.0,1.0
eng_train_track_a_01143,They canceled my order without notifying me.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_02542,The asphalt was so hot it had burned the balls of my feet to the point of blistering from standing on it.,1.0,1.0,0.0,0.0,0.0
eng_train_track_a_01218,They promised a discount but didn’t apply it.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03690,The fear was so intense it felt like I was being suffocated by it.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00733,It was a tempting trap and my greed forced me to fall for it and I burnt my hands there.,1.0,1.0,0.0,0.0,0.0
eng_train_track_a_01247,"I fell to my knees, my body shaking with the sorrow I held in me since I woke up.",0.0,0.0,0.0,1.0,0.0
synthetic_anger_270,The lack of basic respect is maddening.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_02768,He had 4 inches and 40 pounds on me and I still won.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_01258,The mechanic charged me for repairs that didn’t fix the problem.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_01406,I could have wept with relief and gratitude.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01806,I remember Pirate Percy.,0.0,0.0,1.0,1.0,0.0
eng_train_track_a_00080,His stepdad is practically his real dad.,0.0,0.0,1.0,0.0,0.0
synthetic_surprise_152,The river glistened with unexpected bioluminescent light.,0.0,0.0,1.0,0.0,1.0
synthetic_surprise_081,The car horn played a song instead of a beep.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_01026,"My back hurts, my sinuses are full of fluid, I have been suffering pretty bad depression since my folks were here this weekend, and I am excited because I got new towels.I am an old lady, regardless of how long I have existed.",0.0,1.0,1.0,1.0,0.0
synthetic_anger_089,The unfair expectations placed on me are maddening.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03117,"Her hands were trembling, and the sadness in her eyes matched the fear in her heart.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_00782,"My throat felt like I was choking down hot, spiked coals.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_03336,"The empty room felt colder than ever, and I couldn’t shake the sadness creeping in with every step.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01723,This sucks...sorry dude.,1.0,0.0,0.0,1.0,0.0
eng_train_track_a_03415,"The tears I hadn't noticed began to fall, my sadness deepening as the fear of being alone intensified.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01450,... I need to get this list of shit that's happened off my chest.,1.0,1.0,0.0,1.0,0.0
eng_train_track_a_01966,"the winner was announced & i slunk outta there briskly striding the two-point-five blocks home, inhaled vapour medication which is also miraculous, and brushed my teeth.",0.0,1.0,0.0,0.0,1.0
eng_train_track_a_00903,"I told her three times to stop doing that, but she kept ignoring me.",1.0,1.0,0.0,0.0,0.0
eng_train_track_a_02945,"I stood in the doorway, unable to move, fear and sadness holding me in place like invisible chains.",0.0,0.0,1.0,1.0,0.0
synthetic_anger_235,How could they make such a huge mistake and not even own up to it?,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_00233,"I had been flung on top of the bike, and the handle bar was on my stomach.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_02503,The chupacabra legend is pretty big here and in Mexico.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_01057,It's his reflection.,0.0,0.0,0.0,0.0,1.0
eng_train_track_a_02574,"I thought it was beautiful, but I was pretty sure it was extensions since it was extraordinarily long.",0.0,0.0,1.0,0.0,1.0
eng_train_track_a_02884,"The fear that I was losing everything seemed to suffocate me, and I couldn't breathe through the panic.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01636,"My left molar came loose, and looking at it, there was a mushroom-like thing ( like a Mario mushroom, with a red cap ) and black mold coming from the root, as it came out of my mouth.",0.0,1.0,0.0,1.0,1.0
eng_train_track_a_02307,`` My God $ '' `` What's wrong with my arm? '',0.0,1.0,0.0,0.0,1.0
eng_train_track_a_03039,"The fear of what lay ahead gnawed at me, and the sadness kept me from finding any sense of hope.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_03226,"I was so tired, both physically and emotionally, the sadness weighing me down and the fear never far behind.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01191,She never shows up on time.,1.0,0.0,0.0,0.0,0.0
synthetic_surprise_173,A perfectly shaped star appeared on my pancake.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00015,it took a little longer for my feet to hurt which was nice.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_02874,"Her voice cracked with sadness as she told me her story, and I felt a deep sense of empathy for her.",0.0,0.0,1.0,1.0,0.0
synthetic_surprise_177,The cat managed to open the refrigerator on its own.,0.0,0.0,0.0,0.0,1.0
eng_train_track_a_02067,"I didn't leave town this weekend, knowing it was going to rain ( thus my volunteer day today w / the homeless ) whilst my shoulder is all jacked up and clicking.I think I pinched at nerve at the gym.",0.0,1.0,0.0,1.0,0.0
eng_train_track_a_01465,He said it was rather delicious and tried to spoon feed me.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01199,"checked weather report, checked space station schedule, etc etc... nothing that made sense.",0.0,1.0,0.0,1.0,1.0
eng_train_track_a_02697,"The anesthesiologist put an oxygen mask over my face, told me it wasn't the good stuff yet, then I woke up to the room flipping around.",0.0,1.0,0.0,0.0,1.0
eng_train_track_a_01268,He keeps borrowing money and not paying it back.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03766,"I wanted to believe everything would be okay, but the sadness in my heart and the fear in my mind told me otherwise.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_03543,"Her tears were silent, her fear palpable in the way she clung to me, afraid to let go.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_03518,"The sadness was overwhelming, and the fear that accompanied it made every breath feel like a struggle.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_02749,my knees are banged to shit tho.,0.0,0.0,0.0,1.0,0.0
eng_train_track_a_00283,Hence the goofy grin on my face.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_02939,"I couldn’t understand what had happened, but the sadness I felt in that moment seemed to consume me.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01610,Every september I used to get a wicked case due to fluid in my ears caused by allergies.,0.0,1.0,0.0,1.0,0.0
synthetic_surprise_140,A stranger returned my lost wallet without asking for anything in return.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00682,I look down to check out the pool below and I see a small white sphere floating slowly along.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_03098,"Surprise flooded over me, and I laughed in disbelief, unable to comprehend what was happening.",0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00371,"Pauly and I went over to the PokerStars party and I downed some pork tenderloin, caesar salad, and tortellini with pesto sauce along with one Bahama Mama ( a tasty pink rum concoction ) to settle my nerves.",0.0,1.0,1.0,0.0,0.0
synthetic_anger_203,"I told them to stop, and they blatantly ignored me.",1.0,0.0,0.0,0.0,0.0
eng_train_track_a_01043,"My long brown hair caressed my face, small curls wrapping around my ear softly.",0.0,0.0,1.0,0.0,0.0
synthetic_surprise_051,A double rainbow appeared after the rain stopped.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00351,"I could see the texture of the paint on the wall beside my head, and the texture of the fake wood closet doors, the cradle beneath the window.",0.0,0.0,0.0,0.0,0.0
eng_train_track_a_01386,He keeps asking for my help but never helps me in return.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_03351,The argument left me feeling drained.,1.0,0.0,0.0,1.0,0.0
eng_train_track_a_01204,I farted and a little nugget fell out onto the floor.,0.0,0.0,1.0,0.0,1.0
eng_train_track_a_00961,"'No problem,' he said.",0.0,0.0,1.0,0.0,0.0
eng_train_track_a_02229,I didn't hesitate to leap to my feet.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_01048,They delivered my food to the wrong address and refused to refund me.,1.0,0.0,0.0,0.0,0.0
eng_train_track_a_01855,My heart is heavy for the Haitian government.,0.0,0.0,0.0,1.0,0.0
eng_train_track_a_01877,I have to be a complete part of his life and his heart.,0.0,0.0,0.0,0.0,0.0
eng_train_track_a_02123,Isn't that... Oh I don't know... Against the Bill of Rights?,1.0,1.0,0.0,0.0,1.0
eng_train_track_a_03594,"The silence was deafening, filled with an empty sadness, and the fear of what was next hung heavy in the air.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_01261,I was taken away and never saw him get up.,0.0,1.0,0.0,1.0,0.0
eng_train_track_a_01228,The black lady was completely offended and started screaming at us.,1.0,1.0,0.0,0.0,1.0
eng_train_track_a_03720,"She was crying, her face twisted in fear, and the sadness of the situation hung heavily between us.",0.0,0.0,1.0,1.0,0.0
eng_train_track_a_00605,I was on a (admittedly silly) adrenaline rush.,0.0,1.0,1.0,0.0,1.0
synthetic_surprise_096,A hidden compartment opened in the antique drawer.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_01632,I had been AWAKE.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_00221,The whole house and the people and the flame seemed to vanish and leave me in an endless darkness as soon as my eyes were closed.,0.0,1.0,0.0,1.0,0.0
synthetic_surprise_183,A flash of lightning illuminated the entire valley.,0.0,1.0,0.0,0.0,1.0
eng_train_track_a_01499,"Next night, door was shut.... Dammit, so I knock on the door.",1.0,1.0,0.0,0.0,0.0
eng_train_track_a_00439,I hollered but nobody came to see it.,1.0,1.0,0.0,1.0,1.0
eng_train_track_a_00719,Like John and Will.,0.0,0.0,0.0,0.0,0.0
eng_train_track_a_00599,We've been friends ever since then.,0.0,0.0,1.0,0.0,0.0
eng_train_track_a_02806,"Everything felt out of place, like I had stepped into someone else's life.",0.0,1.0,0.0,1.0,0.0
